Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1423	NICE 200GX24-MRP220.00	0	2	2	0.4	193.6	387.2
26-07-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
28-07-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
29-07-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
31-07-2025	1423	NICE 200GX24-MRP220.00	0	15	15	3	193.6	2904
02-08-2025	1423	NICE 200GX24-MRP220.00	1	3	27	5.4	193.6	5227.2
04-08-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
05-08-2025	1423	NICE 200GX24-MRP220.00	0	21	21	4.2	193.6	4065.6
06-08-2025	1423	NICE 200GX24-MRP220.00	1	11	35	7	193.6	6776
08-08-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
11-08-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
15-08-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
16-08-2025	1423	NICE 200GX24-MRP220.00	0	23	23	4.6	193.6	4452.8
18-08-2025	1423	NICE 200GX24-MRP220.00	0	13	13	2.6	193.6	2516.8
19-08-2025	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
20-08-2025	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
21-08-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
22-08-2025	1423	NICE 200GX24-MRP220.00	1	9	33	6.6	193.6	6388.8
23-08-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
25-08-2025	1423	NICE 200GX24-MRP220.00	0	7	7	1.4	193.6	1355.2
26-08-2025	1423	NICE 200GX24-MRP220.00	0	15	15	3	193.6	2904
27-08-2025	1423	NICE 200GX24-MRP220.00	0	23	23	4.6	193.6	4452.8
28-08-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
30-08-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
01-09-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
02-09-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
03-09-2025	1423	NICE 200GX24-MRP220.00	1	12	36	7.2	193.6	6969.6
04-09-2025	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
05-09-2025	1423	NICE 200GX24-MRP220.00	0	14	14	2.8	193.6	2710.4
06-09-2025	1423	NICE 200GX24-MRP220.00	0	7	7	1.4	193.6	1355.2
08-09-2025	1423	NICE 200GX24-MRP220.00	0	23	23	4.6	193.6	4452.8
09-09-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
10-09-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
11-09-2025	1423	NICE 200GX24-MRP220.00	1	11	35	7	193.6	6776
12-09-2025	1423	NICE 200GX24-MRP220.00	1	3	27	5.4	193.6	5227.2
13-09-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
15-09-2025	1423	NICE 200GX24-MRP220.00	1	6	30	6	193.6	5808
18-09-2025	1423	NICE 200GX24-MRP220.00	0	17	17	3.4	193.6	3291.2
19-09-2025	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
22-09-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
23-09-2025	1423	NICE 200GX24-MRP220.00	1	4	28	5.6	193.6	5420.8
24-09-2025	1423	NICE 200GX24-MRP220.00	0	22	22	4.4	193.6	4259.2
25-09-2025	1423	NICE 200GX24-MRP220.00	0	7	7	1.4	193.6	1355.2
26-09-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
27-09-2025	1423	NICE 200GX24-MRP220.00	1	15	39	7.8	193.6	7550.4
30-09-2025	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
01-10-2025	1423	NICE 200GX24-MRP220.00	0	18	18	3.6	193.6	3484.8
02-10-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
04-10-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
08-10-2025	1423	NICE 200GX24-MRP220.00	2	0	48	9.6	193.6	9292.8
09-10-2025	1423	NICE 200GX24-MRP220.00	0	15	15	3	193.6	2904
10-10-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
11-10-2025	1423	NICE 200GX24-MRP220.00	0	23	23	4.6	193.6	4452.8
13-10-2025	1423	NICE 200GX24-MRP220.00	1	10	34	6.8	193.6	6582.4
16-10-2025	1423	NICE 200GX24-MRP220.00	1	4	28	5.6	193.6	5420.8
17-10-2025	1423	NICE 200GX24-MRP220.00	0	20	20	4	193.6	3872
18-10-2025	1423	NICE 200GX24-MRP220.00	0	22	22	4.4	193.6	4259.2
20-10-2025	1423	NICE 200GX24-MRP220.00	1	2	26	5.2	193.6	5033.6
21-10-2025	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
22-10-2025	1423	NICE 200GX24-MRP220.00	1	16	40	8	193.6	7744
23-10-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
24-10-2025	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
25-10-2025	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
27-10-2025	1423	NICE 200GX24-MRP220.00	0	4	4	0.8	193.6	774.4
28-10-2025	1423	NICE 200GX24-MRP220.00	0	23	23	4.6	193.6	4452.8
29-10-2025	1423	NICE 200GX24-MRP220.00	1	5	29	5.8	193.6	5614.4
30-10-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
31-10-2025	1423	NICE 200GX24-MRP220.00	0	20	20	4	193.6	3872
01-11-2025	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
03-11-2025	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
04-11-2025	1423	NICE 200GX24-MRP220.00	0	8	8	1.6	193.6	1548.8
06-11-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
07-11-2025	1423	NICE 200GX24-MRP220.00	0	11	11	2.2	193.6	2129.6
08-11-2025	1423	NICE 200GX24-MRP220.00	0	11	11	2.2	193.6	2129.6
10-11-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
11-11-2025	1423	NICE 200GX24-MRP220.00	0	8	8	1.6	193.6	1548.8
12-11-2025	1423	NICE 200GX24-MRP220.00	1	4	28	5.6	193.6	5420.8
13-11-2025	1423	NICE 200GX24-MRP220.00	0	2	2	0.4	193.6	387.2
14-11-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
15-11-2025	1423	NICE 200GX24-MRP220.00	1	6	30	6	193.6	5808
17-11-2025	1423	NICE 200GX24-MRP220.00	0	10	10	2	193.6	1936
18-11-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
19-11-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
20-11-2025	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
21-11-2025	1423	NICE 200GX24-MRP220.00	1	9	33	6.6	193.6	6388.8
22-11-2025	1423	NICE 200GX24-MRP220.00	1	12	36	7.2	193.6	6969.6
24-11-2025	1423	NICE 200GX24-MRP220.00	0	5	5	1	193.6	968
25-11-2025	1423	NICE 200GX24-MRP220.00	0	2	2	0.4	193.6	387.2
26-11-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
27-11-2025	1423	NICE 200GX24-MRP220.00	1	4	28	5.6	193.6	5420.8
01-12-2025	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
02-12-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
03-12-2025	1423	NICE 200GX24-MRP220.00	2	15	63	12.6	193.6	12196.8
04-12-2025	1423	NICE 200GX24-MRP220.00	0	20	20	4	193.6	3872
05-12-2025	1423	NICE 200GX24-MRP220.00	0	13	13	2.6	193.6	2516.8
06-12-2025	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
08-12-2025	1423	NICE 200GX24-MRP220.00	1	3	27	5.4	193.6	5227.2
10-12-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
11-12-2025	1423	NICE 200GX24-MRP220.00	0	21	21	4.2	193.6	4065.6
12-12-2025	1423	NICE 200GX24-MRP220.00	0	18	18	3.6	193.6	3484.8
13-12-2025	1423	NICE 200GX24-MRP220.00	1	9	33	6.6	193.6	6388.8
15-12-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
18-12-2025	1423	NICE 200GX24-MRP220.00	0	21	21	4.2	193.6	4065.6
19-12-2025	1423	NICE 200GX24-MRP220.00	1	15	39	7.8	193.6	7550.4
20-12-2025	1423	NICE 200GX24-MRP220.00	1	12	36	7.2	193.6	6969.6
22-12-2025	1423	NICE 200GX24-MRP220.00	0	14	14	2.8	193.6	2710.4
23-12-2025	1423	NICE 200GX24-MRP220.00	0	10	10	2	193.6	1936
28-12-2025	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
29-12-2025	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
30-12-2025	1423	NICE 200GX24-MRP220.00	1	12	36	7.2	193.6	6969.6
31-12-2025	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
01-01-2026	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
02-01-2026	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
05-01-2026	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
08-01-2026	1423	NICE 200GX24-MRP220.00	1	17	41	8.2	193.6	7937.6
09-01-2026	1423	NICE 200GX24-MRP220.00	0	18	18	3.6	193.6	3484.8
10-01-2026	1423	NICE 200GX24-MRP220.00	0	22	22	4.4	193.6	4259.2
12-01-2026	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
13-01-2026	1423	NICE 200GX24-MRP220.00	0	22	22	4.4	193.6	4259.2
14-01-2026	1423	NICE 200GX24-MRP220.00	0	8	8	1.6	193.6	1548.8
15-01-2026	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
16-01-2026	1423	NICE 200GX24-MRP220.00	1	12	36	7.2	193.6	6969.6
17-01-2026	1423	NICE 200GX24-MRP220.00	0	6	6	1.2	193.6	1161.6
19-01-2026	1423	NICE 200GX24-MRP220.00	0	18	18	3.6	193.6	3484.8
20-01-2026	1423	NICE 200GX24-MRP220.00	3	10	82	16.4	193.6	15875.2
21-01-2026	1423	NICE 200GX24-MRP220.00	0	12	12	2.4	193.6	2323.2
22-01-2026	1423	NICE 200GX24-MRP220.00	0	20	20	4	193.6	3872
02-02-2026	1423	NICE 200GX24-MRP220.00	2	0	48	9.6	193.6	9292.8
05-02-2026	1423	NICE 200GX24-MRP220.00	0	16	16	3.2	193.6	3097.6
06-02-2026	1423	NICE 200GX24-MRP220.00	1	8	32	6.4	193.6	6195.2
08-02-2026	1423	NICE 200GX24-MRP220.00	0	10	10	2	193.6	1936
09-02-2026	1423	NICE 200GX24-MRP220.00	0	14	14	2.8	193.6	2710.4
23-02-2026	1423	NICE 200GX24-MRP220.00	1	3	27	5.4	193.6	5227.2
24-02-2026	1423	NICE 200GX24-MRP220.00	0	21	21	4.2	193.6	4065.6
26-02-2026	1423	NICE 200GX24-MRP220.00	1	0	24	4.8	193.6	4646.4
27-02-2026	1423	NICE 200GX24-MRP220.00	0	18	18	3.6	193.6	3484.8
28-02-2026	1423	NICE 200GX24-MRP220.00	0	8	8	1.6	193.6	1548.8
03-03-2026	1423	NICE 200GX24-MRP220.00	0	13	13	2.6	193.6	2516.8
04-03-2026	1423	NICE 200GX24-MRP220.00	1	9	33	6.6	193.6	6388.8
05-03-2026	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
06-03-2026	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
07-03-2026	1423	NICE 200GX24-MRP220.00	0	8	8	1.6	193.6	1548.8
09-03-2026	1423	NICE 200GX24-MRP220.00	3	12	84	16.8	193.6	16262.4
10-03-2026	1423	NICE 200GX24-MRP220.00	1	9	33	6.6	193.6	6388.8
11-03-2026	1423	NICE 200GX24-MRP220.00	1	1	25	5	193.6	4840
21-03-2026	1423	NICE 200GX24-MRP220.00	1	6	30	6	193.6	5808
22-03-2026	1423	NICE 200GX24-MRP220.00	0	5	5	1	193.6	968
23-03-2026	1423	NICE 200GX24-MRP220.00	0	9	9	1.8	193.6	1742.4
24-03-2026	1423	NICE 200GX24-MRP220.00	1	7	31	6.2	193.6	6001.6
25-03-2026	1423	NICE 200GX24-MRP220.00	1	3	27	5.4	193.6	5227.2
26-03-2026	1423	NICE 200GX24-MRP220.00	0	10	10	2	193.6	1936
02-04-2026	1423	NICE 200GX24-MRP220.00	0	3	3	0.6	193.6	580.8
03-04-2026	1423	NICE 200GX24-MRP220.00	1	3	27	5.4	193.6	5227.2
04-04-2026	1423	NICE 200GX24-MRP220.00	0	17	17	3.4	193.6	3291.2
05-04-2026	1423	NICE 200GX24-MRP220.00	1	1	25	5	193.6	4840
06-04-2026	1423	NICE 200GX24-MRP220.00	2	0	48	9.6	193.6	9292.8